Symbol;Full Name;GICS Sector;Sub Industry;Environment Score;Social Score;Governance Score;ESG Total Score;Controversy Level;Percentile;Rating Year;Rating Month;Market Cap;beta;Overall Risk;Rating Date
MRK;Merck & Co.;Health Care;Pharmaceuticals;1.85;10.64;8.9;21.39;3.0;33.51;2023;9;299842699264;0.401;4;2023-09-01
MRO;Marathon Oil;Energy;Oil & Gas Exploration & Production;21.07;9.05;7.6;37.72;2.0;89.03;2023;9;15304718336;2.169;5;2023-09-01
MS;Morgan Stanley;Financials;Investment Banking & Brokerage;1.14;12.91;10.53;24.58;2.0;47.11;2023;9;161931493376;1.357;9;2023-09-01
MSCI;MSCI;Financials;Financial Exchanges & Data;1.57;6.97;7.74;16.27;1.0;14.86;2023;9;44539666432;1.111;4;2023-09-01
MSFT;Microsoft;Information Technology;Systems Software;1.46;7.53;6.07;15.06;3.0;11.36;2023;9;3234487336960;0.896;1;2023-09-01
MSI;Motorola Solutions;Information Technology;Communications Equipment;2.26;5.07;5.8;13.13;1.0;6.98;2023;9;73940533248;0.977;2;2023-09-01
MTB;M&T Bank;Financials;Regional Banks;2.63;10.32;13.58;26.53;1.0;55.08;2023;9;29028114432;0.744;8;2023-09-01
MTD;Mettler Toledo;Health Care;Life Sciences Tools & Services;1.0;7.41;4.69;13.1;0.0;6.93;2023;9;29563645952;1.139;5;2023-09-01
MU;Micron Technology;Information Technology;Semiconductors;7.23;5.46;5.49;18.18;2.0;21.15;2023;9;98387369984;1.176;1;2023-09-01
NCLH;Norwegian Cruise Line Holdings;Consumer Discretionary;Hotels, Resorts & Cruise Lines;8.97;10.9;6.08;25.94;2.0;52.93;2023;9;8688294912;2.712;5;2023-09-01
NDAQ;Nasdaq, Inc.;Financials;Financial Exchanges & Data;0.03;5.63;7.43;13.09;1.0;6.89;2023;9;42128486400;0.962;3;2023-09-01
